CookerStat, GenerateAssetRegistry=0.028688, Initialize=0.153277, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC33979C4DEC141067C2E8AF80778D8__EA1133888B309A526653B8D755F58FC2FD8E71F6, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=1026, Duration=3.695913, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F2__D6089E31E0DE5304F220C1F0CC6E870F5542E72B, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=2429, Duration=4.812721, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3077BC0345B6CC3C932B0E9CB2B65D2__E47AD0E5FF42B918B478352F567E757CFB131746, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=1026, Duration=4.168864, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E401D5A44CCDB09F0__19BB624979BDF5104E79BAAF8860C45638466D0D, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=6849, Duration=3.724195, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_10, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_44__20DC0852351760508185390085DBE1108F68C92E, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=12549, Duration=4.713543, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_12252EBD4FB3F7E5D4008B9B5A0C51C__8AE556140D8F706961BBB75680B9DCDC46C7F8E9, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=3754, Duration=4.116408, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_10, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_44__47D372E5D51E03BAB3914427DF416EC0C1A9DA83, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=12549, Duration=5.190179, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C665560B461FC1114A70B1933B0FB1B__F437ECEDB97B21D2D91040811421F5441FB1AD23, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=15902, Duration=5.325019, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_12, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FD__208917495C86E09B80E34F1F35A98681021B5441, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=13789, Duration=6.305348, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B75C7B84D1B4EF2F9C7849B86794A0__7D7BB9666DFFD4FABF58ED55AA22C860052DE250, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=4167, Duration=5.460266, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_12, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FD__FA90CF33227988DBA419CABE84B62758CBB43F71, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=13789, Duration=7.034861, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
