CookerStat, GenerateAssetRegistry=0.024181, Initialize=0.133608, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7C7AD2E4DDFBA446353ADBEEED30DE__6C1ED56E66C915A580B6524B58DEFA5D1C8ED739, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=8024, Duration=6.208629, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E85F5F84450A33B989ABCF8473CE410__31EEB4F8DE1DB792FA50F41F4A43944F2B6282EA, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=8024, Duration=11.359468, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_1D__23BFA400FE708E47CA04499F330BC0DC5EC4AD98, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=81849, Duration=11.571355, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C771171140CD556DB27EDBAFAE991A6__20856695D4618D11EF0A65243874850E8D2DF7B1, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=22880, Duration=9.902086, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7144FF0B4A95E7DF20D722B59A9B6C7__E9BAD8B350B6AC5DE12B664DBA123A54553A3744, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=22880, Duration=10.290611, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_10, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_71__AE71CCD9B9498E4A811FC8FDF39AAA50561A012A, StartTime=2016.05.18-10.32.48, HierarchicalDDC=, DataSize=321097, Duration=7.416010, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A47978042942F7AF654A186404F453__2D1A760C6EAE9D9E491E4F3149FFF53B969026BD, StartTime=2016.05.18-10.32.49, HierarchicalDDC=, DataSize=94190, Duration=6.765596, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68AB6F1F43ECE2B555A2E2B52E9DA39__CB3461481AE1935CDD5A25ED1FE57A277256EC5F, StartTime=2016.05.18-10.32.49, HierarchicalDDC=, DataSize=98100, Duration=7.214781, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdE3BCAE9841103CD78958E68EE69C8F80_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_72__2AFF936E6A007DBCE0D823B6A6E59B6A05EDF62B, StartTime=2016.05.18-10.32.49, HierarchicalDDC=, DataSize=279229, Duration=5.352069, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionIdC85E9FF44DFF21D6429BBEB059447929_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_818F032147EE2E0B20D07CB9C5D929A__09CBCC93A5B653FD9C9A29762ECE0A562E4147A6, StartTime=2016.05.18-10.32.49, HierarchicalDDC=, DataSize=80515, Duration=7.729948, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
