CookerStat, GenerateAssetRegistry=0.087295, Initialize=0.585657, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_033303314B81A4C83045F2B90F739858__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=423, Duration=12.036089, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7279068C479CCA071DE851A0CB876CFA__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=9.668053, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_94041F054B90245DAF9681A354ADD574__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=11.621747, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F4E939024EAE0B41B48AFFBBF6151963__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=8.814361, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E359D72F4B5BF71C752E39B34970BEFE__1_0_13123_0, StartTime=2016.04.15-18.13.55, HierarchicalDDC=, DataSize=347, Duration=15.638146, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4AD1271240B8599CFD75F2BAEAAC0DE5__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=458, Duration=3.621321, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9478A52A454AF1F285751CAC628E8269__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=2.256561, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A68E6E341AF3662A76974B04E4214BB__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=437, Duration=2.155334, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_04019FDD4E21C807C3F2F4AB179275C4__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=1.786072, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_149CAB1D43771661F024AEAACC5A8030__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=423, Duration=3.261075, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E2EF36D6441D068FEAA416B9F3581864__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=1.966398, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D426A064F8C9D6D18854ABF92C1EE2D__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=2.531562, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A4FADA104FFCC6A7227DB7AB307331A3__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=3.365993, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D652414D48098B1A90023CBD5FD5D4E9__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=423, Duration=8.886494, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1680C14346894DB2E259C6AD7C6032FF__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=423, Duration=8.532804, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB50775549569E9D95748FAFC65323C0__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=8.249607, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F2CF16BD4F4A2CB3EB6292968520A452__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=8.367639, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_25C561AD4DB86A7AC420A69B6765CCCA__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=10.537728, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_63953C5A4747ACC6371F8681818DF3A3__1_0_13123_0, StartTime=2016.04.15-18.13.56, HierarchicalDDC=, DataSize=347, Duration=12.719698, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8712928146123CDFE9784585954F48D8__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=458, Duration=8.479934, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D33D35A442E41106A075DB8464319B45__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=6.308619, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4DBBF33B42D309E713018EAE58EA26FF__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=437, Duration=7.550016, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F5F176B4237A23EA13EDCA170149A6B__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=4.169271, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B79A6D0542EBC6BC32AB1A8C1C4C75EE__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=423, Duration=3.942221, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4A75922A46C959A5432F7DA9BE573136__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=3.291398, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_220174084F9D643D20A811BC7A09E88E__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=2.586480, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
