CookerStat, GenerateAssetRegistry=0.040166, Initialize=0.205327, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___2C0A1287F98EF8A37688317A96AAD8D6EA851DAC, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=4194565, Duration=23.441490, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___411614732EAB6D63CAB16A6673CB01BE937A49A5, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=1048837, Duration=16.061951, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___D5B323DA09682A5C7F30089F5288C2B00619E627, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=262403, Duration=12.102101, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___EC2FD97DF2581853D6948A290CC2D6FD8BA46AD1, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=65795, Duration=9.805370, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___F43335A7E3EBF074FDEC4BAC3A7227940F74EACD, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=16643, Duration=11.132010, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4___CB478CB8CC56BC1F56A0A4FAA65AD7C18CEF8464, StartTime=2016.06.08-08.52.39, HierarchicalDDC=, DataSize=7468, Duration=9.036511, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.39, Duration=655.057617, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___7236FC482BDF579609336E4E41EFCE39FBEFD1DF, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=4194565, Duration=28.492332, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___23FC8BB8468D5D487EFD5F9CA25E3C221D458DE3, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=1048837, Duration=14.353748, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___C74CA0A4D9F774226F222B68354D3A9736D1A60E, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=262403, Duration=8.801263, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
