CookerStat, GenerateAssetRegistry=0.039347, Initialize=0.257786, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_AA7977E04320887AADB0AB8EAD0D1__5646D15AF52E4D005863752565A169B04F814246, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=262407, Duration=7.420112, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_AA7977E04320887AADB0AB8EAD0D1__F9F090849DCF320AFBB627645C23A2EBE33FFFE7, StartTime=2016.05.21-13.40.55, HierarchicalDDC=, DataSize=65799, Duration=7.020928, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_AA7977E04320887AADB0AB8EAD0D1__B954369D115EAFCDCB6BAA938ED0BCBB30326EAB, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=5.870104, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_AA7977E04320887AADB0AB8EAD0D1__5407812CC5767BB879E754CEE6B6616040BAE893, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=7196, Duration=25.102142, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8843_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=601.827637, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8__B3115878E683E4A8E2C88E63DE37CACC04254984, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=1048841, Duration=18.238180, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8__C04AA9B8894C1B1F18F1E4DB26CA8B61993D4605, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=262407, Duration=11.351269, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8__0A9ADBA71A7398A0AA936CB700E234E564992A41, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=65799, Duration=18.765234, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EEE3E0DC4104262C3415A48BA4263375_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=37.191528, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8__E44D8B8ABFF82DFB6B3F17BB26AD55CBEAF69787, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=6.227892, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_67D67A254838E9AC84E068A9C6EA8__8EF07397799D45CBE5DCE353705E23CF5679E61F, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=7196, Duration=6.439775, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EEE3E0DC4104262C3415A48BA4263__4C472D6AD2F6BEA5E4362453E84085A2F1E3201E, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=65799, Duration=7.804539, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EEE3E0DC4104262C3415A48BA4263__01CAA79B9DD24DB463B6AE6713E2A0D197F93612, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=7.753715, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EEE3E0DC4104262C3415A48BA4263__FD848B345595244F1E5E5652EC499DF01743A3E9, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6604, Duration=11.734061, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F5FA2000488C94403D02FDA94E3B1171_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=85.687614, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F5FA2000488C94403D02FDA94E3B1__F10F6EAFC407CFEFDA9077361DF11C7D00DEAACC, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=262407, Duration=8.016832, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F5FA2000488C94403D02FDA94E3B1__5F6F419E90AFE05A44D1F04214818DF6CE18C842, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=8.400850, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F5FA2000488C94403D02FDA94E3B1__E594F2BA865B90BDA80057100BC23A34720C0D91, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=65799, Duration=13.667673, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0226556347C97B3172A37E882C762B4B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=56.159634, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F5FA2000488C94403D02FDA94E3B1__F78DE76EA72BED40DA9226EE198D1CC0FB61A0CE, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6899, Duration=8.083228, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0226556347C97B3172A37E882C762__74945E96DE93B42A9A7E1892D3B5C37894DE49E4, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=65799, Duration=8.145113, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0226556347C97B3172A37E882C762__AAEAF11A7542139C8D9C96A3D3B4DBD4D9D24330, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=11.238567, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0226556347C97B3172A37E882C762__D761E74B9B7AB8AFD0852EB6B8F155BE0B8A4C97, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6604, Duration=11.932831, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CBAAF3CF47C5DC5ACBABC9837408A6F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=53.792820, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CBAAF3CF47C5DC5ACBABC9837408A__78B32223685634E259367C6CA061FF770A032C8D, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=65799, Duration=8.028716, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CBAAF3CF47C5DC5ACBABC9837408A__3382E0CD884066BED342D3CFEA5B96EDCB7AC495, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=8.264784, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CBAAF3CF47C5DC5ACBABC9837408A__6099CD2731C91E380FF17F4993A06167BEBAA27F, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6604, Duration=17.335720, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1299BC9F41578BBF45F20EBFD947DEDF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=35.776772, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
