CookerStat, GenerateAssetRegistry=0.024591, Initialize=0.135656, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Door_Gate001.uasset, AutoPackageBackupDelegate=15.216861, FlushAsyncLoading=0.012293, FlushStreamingFunc=14.973417, BlockTillAllRequestsFinished=0.005327, ResetLoadersForSaveUnMarkAllObjects=0.609428, TagPackageExports=0.033196, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.589754, GatherLocalizableTextData=0.252873, MarkNames=0.008196, SerializeSummary=0.013113, SerializeNames=0.057377, SerializeGatherableTextData=0.001229, BuildExportMap=0.022542, SortExportsNonSeekfree=0.009838, SortExportsSeekfreeConstructor=0.068031, SortExportsSeekfreeInner=0.936069, SortExportsSeekfree=0.003688, BuildDependencyMap=0.011068, SerializeImportMap=0.010248, SerializeExportMap=0.004508, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.670529, SerializeExports=0.258196, SerializeBulkData=0.172131, MoveFile=4.116818, UnaccountedTime=3.198374, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Door_LowerPanel001.uasset, AutoPackageBackupDelegate=9.272575, FlushAsyncLoading=0.018444, FlushStreamingFunc=0.084426, BlockTillAllRequestsFinished=0.006557, ResetLoadersForSaveUnMarkAllObjects=0.305742, TagPackageExports=0.029508, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.529919, GatherLocalizableTextData=0.240166, MarkNames=0.006557, SerializeSummary=0.011064, SerializeNames=0.057377, SerializeGatherableTextData=0.001229, BuildExportMap=0.020083, SortExportsNonSeekfree=0.009429, SortExportsSeekfreeConstructor=0.006557, SortExportsSeekfreeInner=0.604920, SortExportsSeekfree=0.002459, BuildDependencyMap=0.007786, SerializeImportMap=0.007790, SerializeExportMap=0.008196, SerializeDependencyMap=0.001233, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.607407, SerializeExports=0.288937, SerializeBulkData=0.013523, MoveFile=5.378298, UnaccountedTime=1.356971, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Door_Open002.uasset, AutoPackageBackupDelegate=9.969297, FlushAsyncLoading=0.013117, FlushStreamingFunc=0.069261, BlockTillAllRequestsFinished=0.006966, ResetLoadersForSaveUnMarkAllObjects=0.351232, TagPackageExports=0.028279, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.594676, GatherLocalizableTextData=0.234015, MarkNames=0.006970, SerializeSummary=0.009835, SerializeNames=0.052460, SerializeGatherableTextData=0.001229, BuildExportMap=0.020493, SortExportsNonSeekfree=0.009835, SortExportsSeekfreeConstructor=0.006557, SortExportsSeekfreeInner=0.608198, SortExportsSeekfree=0.002872, BuildDependencyMap=0.008196, SerializeImportMap=0.011887, SerializeExportMap=0.008605, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.446359, SerializeExports=0.345491, SerializeBulkData=0.029918, MoveFile=4.929937, UnaccountedTime=1.755744, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Floor_Begin01.uasset, AutoPackageBackupDelegate=12.878325, FlushAsyncLoading=0.031967, FlushStreamingFunc=0.115983, BlockTillAllRequestsFinished=0.010248, ResetLoadersForSaveUnMarkAllObjects=0.625003, TagPackageExports=0.058606, BeginCacheForCookedPlatformData=0.002868, SerializeImports=0.990171, GatherLocalizableTextData=0.340983, MarkNames=0.024181, SerializeSummary=0.015162, SerializeNames=0.070084, SerializeGatherableTextData=0.002049, BuildExportMap=0.027459, SortExportsNonSeekfree=0.015166, SortExportsSeekfreeConstructor=0.012293, SortExportsSeekfreeInner=0.791807, SortExportsSeekfree=0.004508, BuildDependencyMap=0.009015, SerializeImportMap=0.007376, SerializeExportMap=0.005737, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.329127, SerializeExports=0.292215, SerializeBulkData=0.019263, MoveFile=5.506169, UnaccountedTime=2.659846, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Pipes_Divider001.uasset, AutoPackageBackupDelegate=10.248806, FlushAsyncLoading=0.011887, FlushStreamingFunc=0.156559, BlockTillAllRequestsFinished=0.007786, ResetLoadersForSaveUnMarkAllObjects=0.334427, TagPackageExports=0.039347, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.759017, GatherLocalizableTextData=0.368036, MarkNames=0.013523, SerializeSummary=0.023771, SerializeNames=0.128280, SerializeGatherableTextData=0.001229, BuildExportMap=0.039753, SortExportsNonSeekfree=0.010658, SortExportsSeekfreeConstructor=0.009835, SortExportsSeekfreeInner=0.825822, SortExportsSeekfree=0.004917, BuildDependencyMap=0.013527, SerializeImportMap=0.009015, SerializeExportMap=0.004917, SerializeDependencyMap=0.002459, SerializeStringAssetReferenceMap=0.002872, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.255361, SerializeExports=0.267215, SerializeBulkData=0.036474, MoveFile=4.868053, UnaccountedTime=1.725007, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Pipes_Divider002.uasset, AutoPackageBackupDelegate=9.336099, FlushAsyncLoading=0.011884, FlushStreamingFunc=0.141397, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=0.337295, TagPackageExports=0.029508, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.593036, GatherLocalizableTextData=0.222951, MarkNames=0.006557, SerializeSummary=0.009425, SerializeNames=0.057381, SerializeGatherableTextData=0.001229, BuildExportMap=0.019670, SortExportsNonSeekfree=0.009429, SortExportsSeekfreeConstructor=0.006966, SortExportsSeekfreeInner=0.661068, SortExportsSeekfree=0.003278, BuildDependencyMap=0.019263, SerializeImportMap=0.007786, SerializeExportMap=0.005737, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.161510, SerializeExports=0.300411, SerializeBulkData=0.040986, MoveFile=5.432807, UnaccountedTime=1.358204, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6E__1AEBE1AF2AD3D995932F0C8B398941FECBD9DB1B, StartTime=2016.05.19-14.18.14, HierarchicalDDC=, DataSize=4525, Duration=4.540998, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC76EEC04D5C7C0A4DA65DBAA5738B9__A8BBC78746758BBEF16C2E865D8E641DE35B01B4, StartTime=2016.05.19-14.18.14, HierarchicalDDC=, DataSize=1744, Duration=4.037723, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6E__F8EC63FD70407D5C0F36325DFB24CC0EBF5526EC, StartTime=2016.05.19-14.18.14, HierarchicalDDC=, DataSize=4525, Duration=5.433627, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9E2D7484F2B826EC1D72580E933B51__D48D72673C0229B1FE0DD45E06828EC298ECBE84, StartTime=2016.05.19-14.18.14, HierarchicalDDC=, DataSize=1744, Duration=4.446328, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
SavePackageTransactionId7F7F4ADC428C58DED4794983DFF1A50D_6, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Platform_Area001.uasset, AutoPackageBackupDelegate=13.177510, FlushAsyncLoading=0.008605, FlushStreamingFunc=0.071723, BlockTillAllRequestsFinished=0.007376, ResetLoadersForSaveUnMarkAllObjects=0.438936, TagPackageExports=0.041395, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.561886, GatherLocalizableTextData=0.436887, MarkNames=0.007380, SerializeSummary=0.015162, SerializeNames=0.092626, SerializeGatherableTextData=0.001639, BuildExportMap=0.020899, SortExportsNonSeekfree=0.009838, SortExportsSeekfreeConstructor=0.007786, SortExportsSeekfreeInner=0.654921, SortExportsSeekfree=0.002459, BuildDependencyMap=0.009015, SerializeImportMap=0.006557, SerializeExportMap=0.005331, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.963145, SerializeExports=0.498366, SerializeBulkData=0.014752, MoveFile=4.737720, UnaccountedTime=3.316406, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_12, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F3__4395B4B457E8B41C11C3A3ADAB30B5304DB4C6CF, StartTime=2016.05.19-14.38.46, HierarchicalDDC=, DataSize=49209, Duration=5.345102, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
